1: 292705/1278378
2: 26'26/49
3: 1'11/26
4: 22'11/29
5: 72'3/59
6: 1298/2775
7: 41'38/65
8: 19'5/17
9: 123'149/29
10: 5'52/71
11: 5739'15/91
12: 399'21/41
13: 1'5674/11985
14: 1'57/68
15: 1'9/35
16: 1'693/1972
17: 52594/55965
18: 2/7
19: 49'56/121
20: 7844/9135
21: 33189/3332
22: 1/178
23: 567/1562
24: 4'5/12
25: 2318'1/3
26: 95591/130479
27: 6'12/29
28: 1'29/62
29: 465/2296
30: 1/186
31: 83'5/414
32: 76'865/988
33: 2201/1276352
34: 13/29
35: 12'2319/247
36: 2/1829
37: 451/3306
38: 1444
39: 654'42/97
40: 1'187/1568
41: 123'58/65
42: 64/14945
43: 167'989/1085
44: 5668'4/17
45: 24/343
46: 73'5/154
47: 4643/141772
48: 7'5/7
49: 3'35/69
50: 102'5/17
51: 91'29/43
52: 242'53/62
53: 1/1258
54: 21'4897/19703
55: 11418'414/469
56: 795'15/28
57: 84'206/513
58: 2'24557/2992
59: 1'31/96
60: 9'36/95
61: 32'68/81
62: 1'26/55
63: 132'11/69
64: 13/527
65: 1006'7/17
66: 17'13/21
67: 209/663
68: 99'3/5
69: 128'5/17
70: 191/39294
71: 61
72: 222
73: 9
74: 399/2465
75: 1781'46/399
76: 1519/168646
77: 9'26/999
78: 4'9/16
79: 2'1/97
80: 18
81: 294'115/261
82: 104/185
83: 1'21/194
84: 44'61/111
85: 2685'2/23
86: 1'3/11
87: 1147/194
88: 75'7/9
89: 7166
90: 17'179/246
91: 72'39/89
92: 1'171/41
93: 1'523/4485
94: 2'2/3
95: 63
96: 5'41/89
97: 1'11/14
98: 64'545/3432
99: 33'3/5
100: 2583/1612
101: 2003
102: 71'47/92
103: 19'25/42
104: 3'181/2
105: 91'12/65
106: 854'58/153
107: 17'1/5
108: 588/2755
109: 79'17/23
110: 7597'1/3
111: 7396'4/5
112: 2'4/21
113: 28'149/414
114: 7'9/91
115: 1914
116: 8742
117: 24'283/1932
118: 49
119: 105'31/37
120: 315'47/817
121: 32'22/23
122: 62'31/319
123: 28'4/35
124: 34'2512/2585
125: 7'3/22
126: 629/1845
127: 121'43/65
128: 113'1142/1595
129: 1'59/1264
130: 204'1/17
131: 22'15/31
132: 11/3
133: 12'3/68
134: 1/312
135: 1458/1591
136: 5'53/69
137: 85'1/2
138: 9'5/23
139: 239/1782
140: 2'14/41
141: 105'15/17
142: 31/51
143: 67
144: 81'1067/3225
145: 35'8/9
146: 56'3/7
147: 9'9/14
148: 59'39/4
149: 27/3854
150: 5/819
151: 6'16/201
152: 22'11/16
153: 1'17/61
154: 28'6/77
155: 16'7/41
156: 44'36/97
157: 18'1/2
158: 82'47/69
159: 93'683/93
160: 41'1/1
161: 81'1/17
162: 107'38/47
163: 59/28
164: 31/672
165: 27455/2042586
166: 3'6/11
167: 87'11/424
168: 11132
169: 369/76285
170: 85'67/91
171: 275507/389844
172: 6/31
173: 107/312
174: 1193'6/11
175: 84/85
176: 75'723/1672
177: 4199'77/78
178: 7'11/18
179: 55'33/4
180: 2414'17/29
181: 7/296
182: 83
183: 6
184: 193'3/4
185: 2'11/43
186: 4'2701/5192
187: 91'373/465
188: 1229/4234
189: 144/1175
190: 22'53/138
191: 136'421/77
192: 287'3/26
193: 22'1032/1675
194: 539
195: 1'4/59
196: 475/5202
197: 3/259
198: 55'985/2212
199: 125'43/45
200: 31'1327/1596
201: 9'15/38
202: 2/99
203: 97'228/305
204: 95'69/7
205: 8'23/47
206: 1/84
207: 1207/504
208: 13'103/224
209: 48'13/63
210: 5712
211: 76'38/71
212: 972
213: 47'2/25
214: 25'35/59
215: 1
216: 491/648
217: 36/361
218: 2982'3/28
219: 1666/148599
220: 12827/5655
221: 43/73
222: 24'12/31
223: 2672'1039/172
224: 5
225: 9'3/4
226: 35'49/684
227: 2'615/1012
228: 22'1/2
229: 44/477
230: 1037'78/95
231: 228'48/49
232: 20183/22103
233: 3098'67/44
234: 1
235: 54'2/13
236: 21'9/53
237: 1395/111872
238: 9'82/87
239: 3024'32/85
240: 75'35/46
241: 5'11/28
242: 17'265/1771
243: 106
244: 47'25/67
245: 1'5/17
246: 119'8/11
247: 13'4/11
248: 9/413
249: 1617/129352
250: 388
251: 88
252: 189'4/783
253: 12/925
254: 23'55/171
255: 17'325/1444
256: 609'7/11
257: 24'393/884
258: 44/69
259: 11'65/67
260: 107597/204035
261: 19'521/2425
262: 44'53/176
263: 2328
264: 43'203/1476
265: 6'2238/4661
266: 1'31/35
267: 1'147791/15642
268: 347'5/21
269: 8'5/8
270: 19'1/2
271: 3/658
272: 1/198
273: 14'16/1505
274: 2479/4375
275: 1031'3/7
276: 10132'34/35
277: 87
278: 3/341
279: 1'49069/17835
280: 31
281: 2'85433/10452
282: 136/1089
283: 17'15/37
284: 69/28
285: 17'13/24
286: 73'8/95
287: 9'185/253
288: 28'3101/3298
289: 207/238
290: 2508'15/31
291: 5'2/159
292: 23'503/52
293: 62'886/957
294: 42'5/34
295: 19897/3619
296: 83'1449/1775
297: 668/3621
298: 88
299: 35'18/31
300: 2648'2/7
301: 222/371
302: 42/3403
303: 3863'13/35
304: 84'1091/1677
305: 8'8/217
306: 24'1/4
307: 3677/36993
308: 91'182/235
309: 105/20564
310: 4'1195/1232
311: 1547
312: 5
313: 671/1008
314: 45469/72542
315: 81'3/16
316: 27'5/14
317: 24131/1311
318: 76'43/12
319: 16524
320: 11'2056/11869
321: 39'61/15
322: 248'444/475
323: 345'33/41
324: 23/1155
325: 57'7/2
326: 19
327: 134'1/4
328: 1343'4/19
329: 6'65/99
330: 9'11/24
331: 1'573/1072
332: 4'8/41
333: 18/31
334: 71'217/1248
335: 47'1/4
336: 502/1725
337: 22'7/18
338: 581/24
339: 92'2/5
340: 1'7802/28835
341: 54'3/7
342: 58/279
343: 286'1/1
344: 158'274/425
345: 112/3589
346: 72
347: 151
348: 32
349: 83'15/52
350: 2484
351: 71'5/23
352: 1'757/14378
353: 14'74/85
354: 2444/2697
355: 74'54/95
356: 96
357: 47'65/83
358: 35'11/144
359: 544'155/304
360: 26'383/546
361: 7'225/784
362: 33/136
363: 5'3137/9048
364: 2137/21538
365: 1'5/8
366: 11/118
367: 52'7/9
368: 49'1333/11766
369: 14'1/7
370: 1157/1891
371: 4'11/15
372: 24/1073
373: 147/1696
374: 392
375: 3429'757/792
376: 15939
377: 162
378: 195'331/416
379: 1'13/41
380: 174
381: 13/28
382: 48'1/13
383: 43'25/77
384: 8'1/12
385: 82'4693/8624
386: 1
387: 8
388: 18'15/59
389: 199'3/11
390: 1'2/5
391: 1'19/46
392: 148'1/2
393: 2898'991/124
394: 121/588
395: 61'1/23
396: 1741/5712
397: 212'4/5
398: 4'107/255
399: 1'313/284
400: 511/6248
401: 7096'8/11
